date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:11	64242/64242	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2005:58:25%20GMT	https://novastraders.com/	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/index.html	(from )
15:00:12	796/796	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2014:00:10%20GMT	https://novastraders.com/robots.txt		(from )
15:00:12	22567/22567	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Feb%202026%2003:20:33%20GMT	https://novastraders.com/assets/img/favicon.png	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/assets/img/favicon.png	(from https://novastraders.com/)
15:00:13	0/0	---M--	200	added ('OK')	text/css	date:Wed,%2004%20Feb%202026%2003:20:33%20GMT	https://novastraders.com/assets/css/custom.css	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/assets/css/custom.css	(from https://novastraders.com/)
15:00:13	732036/732036	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Feb%202026%2003:20:33%20GMT	https://novastraders.com/assets/css/main.css	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/assets/css/main.css	(from https://novastraders.com/)
15:00:14	18024/18024	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269cac7a9-4668%22	https://www.smartsuppchat.com/loader.js?	C:/Users/USER/Desktop/Trader/expertradersfx/www.smartsuppchat.com/loaderd41d.js	(from https://novastraders.com/)
15:00:14	796/796	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2014:00:14%20GMT	https://novastraders.com/%e2%80%9chttps://www.smartsupp.com%e2%80%9d	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/%e2%80%9chttps_/www.smartsupp.com%e2%80%9d	(from https://novastraders.com/)
15:00:16	59645/59645	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202026%2014:00:15%20GMT	https://novastraders.com/account/login	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/account/login.html	(from https://novastraders.com/)
15:00:16	59723/59723	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202026%2014:00:16%20GMT	https://novastraders.com/account/register	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/account/register.html	(from https://novastraders.com/)
15:00:17	64242/64242	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2005:58:25%20GMT	https://novastraders.com/index.html	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/index-2.html	(from https://novastraders.com/)
15:00:17	22510/22510	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2004:03:43%20GMT	https://novastraders.com/about.html	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/about.html	(from https://novastraders.com/)
15:00:17	118423/118423	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Feb%202026%2004:28:10%20GMT	https://novastraders.com/bb/logo.png	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/bb/logo.png	(from https://novastraders.com/)
15:00:18	27088/27088	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2005:22:47%20GMT	https://novastraders.com/contact.html	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/contact.html	(from https://novastraders.com/)
15:00:19	33538/33538	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2004:16:46%20GMT	https://novastraders.com/terms.html	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/terms.html	(from https://novastraders.com/)
15:00:19	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Thu,%2009%20Apr%202026%2014:00:19%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/USER/Desktop/Trader/expertradersfx/translate.google.com/translate_a/element.ca0d8.delayed	(from https://novastraders.com/)
15:00:20	80707/80707	---MC-	200	added ('OK')	text/javascript	date:Thu,%2009%20Apr%202026%2014:00:19%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/USER/Desktop/Trader/expertradersfx/translate.google.com/translate_a/elementa0d8.js	(from https://novastraders.com/)
15:00:20	1238/1238	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2003:20:33%20GMT	https://novastraders.com/translate.google.com/translate_a/elementa0d8a0d8.html?cb=googleTranslateElementInit	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/translate.google.com/translate_a/elementa0d8a0d8a0d8.html	(from https://novastraders.com/)
15:00:21	796/796	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2014:00:20%20GMT	https://novastraders.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.html	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.html	(from https://novastraders.com/)
15:00:21	457/457	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2004%20Feb%202026%2003:20:33%20GMT	https://novastraders.com/assets/img/shapes/circle.svg	C:/Users/USER/Desktop/Trader/expertradersfx/novastraders.com/assets/img/shapes/circle.svg	(from https://novastraders.com/)
